Pathway_ID	Pathway_Name	Accession_Count	Accessions
Reactome: R-HSA-933542	TRAF6 mediated NF-kB activation	1	Dcitr00g0619011
Reactome: R-HSA-168138	Toll Like Receptor 9 (TLR9) Cascade	1	Dcitr00g0647011
Reactome: R-HSA-5693548	Sensing of DNA Double Strand Breaks	5	Dcitr01g2066011;Dcitr07g0881011;Dcitr01g2059012;Dcitr05g0235011;Dcitr01g2059011
Reactome: R-HSA-3878781	Glycogen storage disease type IV (GBE1)	2	Dcitr10g0147011;Dcitr10g0149011
Reactome: R-HSA-5467340	AXIN missense mutants destabilize the destruction complex	7	Dcitr03g1095011;Dcitr03g0351011;Dcitr03g1509011;Dcitr03g1094011;Dcitr07g1279011;Dcitr03g1505011;Dcitr03g0348011
Reactome: R-HSA-5609977	Defective GALE can cause Epimerase-deficiency galactosemia (EDG)	2	Dcitr03g1282011;Dcitr13g0196011
Reactome: R-HSA-1234174	Cellular response to hypoxia	3	Dcitr06g1286011;Dcitr06g1276012;Dcitr06g1276011
Reactome: R-HSA-4551638	SUMOylation of chromatin organization proteins	34	Dcitr11g0302011;Dcitr03g0567011;Dcitr02g0594011;Dcitr01g0107011;Dcitr01g0106012;Dcitr02g0134011;Dcitr01g1501011;Dcitr01g0405011;Dcitr03g0283011;Dcitr02g0592011;Dcitr03g1512011;Dcitr02g1943011;Dcitr05g0682011;Dcitr03g1961011;Dcitr05g1451011;Dcitr07g0642011;Dcitr04g1353011;Dcitr12g0481011;Dcitr01g1040011;Dcitr01g0409011;Dcitr01g0107012;Dcitr01g0262011;Dcitr02g0138011;Dcitr01g0106011;Dcitr10g1029011;Dcitr04g1353012;Dcitr11g0297011;Dcitr13g0656011;Dcitr00g1068011;Dcitr04g1353013;Dcitr00g0947011;Dcitr03g1954011;Dcitr03g1513011;Dcitr01g1042011
Reactome: R-HSA-977443	GABA receptor activation	5	Dcitr08g0514011;Dcitr05g1413011;Dcitr05g1414011;Dcitr08g0539011;Dcitr05g1415011
Reactome: R-HSA-180910	Vpr-mediated nuclear import of PICs	25	Dcitr02g0594011;Dcitr01g1040011;Dcitr07g0642011;Dcitr04g1353011;Dcitr11g0302011;Dcitr03g0567011;Dcitr01g0262011;Dcitr01g1501011;Dcitr01g0405011;Dcitr01g0409011;Dcitr11g0297011;Dcitr13g0656011;Dcitr03g0283011;Dcitr04g1353012;Dcitr02g0592011;Dcitr10g1029011;Dcitr03g1961011;Dcitr03g1513011;Dcitr01g1042011;Dcitr05g1451011;Dcitr02g1943011;Dcitr03g1954011;Dcitr05g0682011;Dcitr04g1353013;Dcitr03g1512011
Reactome: R-HSA-2206292	MPS VII - Sly syndrome	3	Dcitr10g0676011;Dcitr10g0665011;Dcitr07g0575011
Reactome: R-HSA-418597	G alpha (z) signalling events	17	Dcitr05g0861011;Dcitr02g1670011;Dcitr04g0351011;Dcitr05g0864011;Dcitr12g0296012;Dcitr03g1902011;Dcitr09g0711011;Dcitr06g1289011;Dcitr09g0710011;Dcitr12g0296013;Dcitr01g0428011;Dcitr12g0318011;Dcitr02g1669011;Dcitr02g0868011;Dcitr07g0795011;Dcitr03g1910011;Dcitr02g0872011
Reactome: R-HSA-9645135	STAT5 Activation	1	Dcitr03g1633011
Reactome: R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs	33	Dcitr06g0311011;Dcitr06g0440011;Dcitr01g1549011;Dcitr05g1224011;Dcitr06g0450011;Dcitr00g1400011;Dcitr01g1549012;Dcitr05g1700011;Dcitr00g1017011;Dcitr04g0199011;Dcitr06g0850011;Dcitr01g1871011;Dcitr04g0198011;Dcitr05g0500011;Dcitr04g1349011;Dcitr10g0493011;Dcitr10g0495011;Dcitr05g1213011;Dcitr10g0492011;Dcitr06g0851011;Dcitr04g1009011;Dcitr01g1558011;Dcitr01g1550011;Dcitr10g0605011;Dcitr06g0873011;Dcitr06g0451011;Dcitr05g1212011;Dcitr00g0290011;Dcitr00g0731011;Dcitr13g0675011;Dcitr06g0438011;Dcitr10g0993011;Dcitr06g0448011
Reactome: R-HSA-3371568	Attenuation phase	3	Dcitr06g1446011;Dcitr07g0830011;Dcitr07g0829011
Reactome: R-HSA-381753	Olfactory Signaling Pathway	6	Dcitr04g1654011;Dcitr03g0212011;Dcitr01g1728011;Dcitr02g0715011;Dcitr03g0208011;Dcitr03g0226011
Reactome: R-HSA-380259	Loss of Nlp from mitotic centrosomes	23	Dcitr02g1519011;Dcitr05g0518011;Dcitr03g1502011;Dcitr01g0254011;Dcitr10g0134011;Dcitr01g2128011;Dcitr01g0247011;Dcitr00g1232011;Dcitr06g1555011;Dcitr05g0519011;Dcitr05g0513011;Dcitr04g0777011;Dcitr02g1521011;Dcitr08g0259011;Dcitr08g0250011;Dcitr06g1556011;Dcitr08g1234011;Dcitr01g2136011;Dcitr05g0515011;Dcitr02g1514011;Dcitr04g0773011;Dcitr02g1516011;Dcitr02g0469011
Reactome: R-HSA-8985947	Interleukin-9 signaling	1	Dcitr03g1633011
Reactome: R-HSA-500657	Presynaptic function of Kainate receptors	6	Dcitr02g0868011;Dcitr07g0795011;Dcitr02g0898011;Dcitr01g0428011;Dcitr06g1289011;Dcitr02g0872011
Reactome: R-HSA-8939245	RUNX1 regulates transcription of genes involved in BCR signaling	1	Dcitr04g0427011
Reactome: R-HSA-3899300	SUMOylation of transcription cofactors	14	Dcitr05g1515011;Dcitr07g0829011;Dcitr04g0720011;Dcitr04g0727011;Dcitr05g1485011;Dcitr02g0239011;Dcitr04g0721011;Dcitr01g0927011;Dcitr02g0235011;Dcitr02g0239012;Dcitr01g0345011;Dcitr01g0929011;Dcitr01g0344011;Dcitr07g0830011
Reactome: R-HSA-2564830	Cytosolic iron-sulfur cluster assembly	13	Dcitr03g0544011;Dcitr03g0762011;Dcitr04g0619011;Dcitr00g0319011;Dcitr04g0672011;Dcitr03g0770011;Dcitr12g0177011;Dcitr10g1037013;Dcitr10g1037012;Dcitr10g1037011;Dcitr12g0603011;Dcitr04g0617011;Dcitr00g0320011
Reactome: R-HSA-1237112	Methionine salvage pathway	6	Dcitr03g1110011;Dcitr05g1119011;Dcitr05g1125011;Dcitr05g1113011;Dcitr01g1820011;Dcitr01g1814011
Reactome: R-HSA-2980766	Nuclear Envelope Breakdown	2	Dcitr05g0707011;Dcitr00g0872011
